선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
최현석,SSG,0,0,0,0,0,2,0,0.2,13.50,40.50,13.50,0.800,60.6,54.00,33.79,35.41,-0.02,-0.1
배민서,한화,0,0,0,0,0,1,0,1.2,5.40,16.20,0.00,0.571,57.1,16.20,7.99,9.01,-0.02,-0.1
유승철,KIA,0,0,0,0,0,5,0,5.0,7.20,12.60,0.00,0.250,70.0,5.40,6.39,6.95,-0.02,0.14
우강훈,LG,1,0,0,0,0,14,0,11.2,7.71,6.17,0.00,0.333,76.0,3.09,5.67,6.35,-0.02,0.23
이충호,한화,0,0,0,0,0,3,0,2.1,11.57,11.57,0.00,0.571,85.7,3.86,5.07,5.03,-0.02,0.07
유지성,KIA,0,0,0,0,0,3,0,2.1,11.57,0.00,3.86,0.444,43.5,7.71,8.07,7.78,-0.03,-0.1
김규연,한화,1,0,0,4,1,58,1,59.0,6.10,4.27,0.92,0.321,53.6,7.02,5.33,5.56,-0.03,0.37
장지훈,SSG,0,0,0,0,0,18,0,21.1,4.22,4.22,1.27,0.342,67.0,6.75,6.22,6.67,-0.03,0.17
윤대경,한화,0,0,0,0,0,7,0,7.2,8.22,7.04,1.17,0.360,51.3,10.57,6.00,6.16,-0.03,-0.2
김대현,LG,2,0,1,1,2,37,0,35.0,7.71,4.63,1.54,0.273,71.7,5.4,6.02,6.07,-0.03,0.53
성동현,LG,0,0,0,0,0,2,0,2.0,4.5,13.5,0.0,0.0,100.0,0.0,7.29,8.24,-0.03,0.07
김도윤,두산,0,0,0,0,0,2,0,2.1,3.86,7.71,0.0,0.25,60.0,3.86,6.79,7.94,-0.03,-0.03
이형범,KIA,0,1,0,2,0,16,0,15.0,5.4,4.2,1.2,0.4,59.7,7.8,6.52,7.11,-0.03,-0.28
이재익,삼성,1,0,0,0,0,9,0,9.2,5.59,3.72,1.86,0.587,46.4,17.69,6.48,6.67,-0.04,-0.39
김호준,두산,1,2,0,0,0,16,1,13.1,4.05,2.7,0.68,0.429,57.4,8.78,5.89,6.63,-0.04,-0.1
양현,삼성,0,1,0,2,0,18,0,13.0,6.92,3.46,2.77,0.395,74.8,7.62,7.63,7.73,-0.05,0.19
최동환,LG,0,1,0,2,0,26,0,22.0,5.73,3.68,1.64,0.397,67.7,6.95,6.1,6.28,-0.05,0.15
이기순,SSG,1,1,0,0,0,10,2,19.2,10.98,10.53,0.92,0.233,78.3,3.66,6.33,6.35,-0.05,0.4
최이준,롯데,3,0,0,0,0,23,0,24.2,6.2,5.84,1.09,0.425,66.3,7.3,5.94,6.21,-0.06,-0.3
홍정우,삼성,0,0,0,0,0,1,0,1.0,9.0,9.0,9.0,0.667,21.7,45.0,17.79,17.91,-0.06,-0.17
